group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cmd_group,get,,,,4981874.0,ns,84095
cmd_group,get,,,,4909682.0,ns,84700
cmd_group,get,,,,5077195.0,ns,85305
cmd_group,get,,,,5047105.0,ns,85910
cmd_group,get,,,,5083627.0,ns,86515
cmd_group,get,,,,5133956.0,ns,87120
cmd_group,get,,,,5195899.0,ns,87725
cmd_group,get,,,,5168018.0,ns,88330
cmd_group,get,,,,5206058.0,ns,88935
cmd_group,get,,,,5201579.0,ns,89540
cmd_group,get,,,,5280131.0,ns,90145
cmd_group,get,,,,5358482.0,ns,90750
cmd_group,get,,,,5357672.0,ns,91355
cmd_group,get,,,,5290711.0,ns,91960
cmd_group,get,,,,5358772.0,ns,92565
cmd_group,get,,,,5447514.0,ns,93170
cmd_group,get,,,,5405613.0,ns,93775
cmd_group,get,,,,5596788.0,ns,94380
cmd_group,get,,,,5526346.0,ns,94985
cmd_group,get,,,,5636419.0,ns,95590
cmd_group,get,,,,5638188.0,ns,96195
cmd_group,get,,,,5593378.0,ns,96800
cmd_group,get,,,,5828403.0,ns,97405
cmd_group,get,,,,5705779.0,ns,98010
cmd_group,get,,,,5913965.0,ns,98615
cmd_group,get,,,,5746461.0,ns,99220
cmd_group,get,,,,5781682.0,ns,99825
cmd_group,get,,,,5867954.0,ns,100430
cmd_group,get,,,,5876464.0,ns,101035
cmd_group,get,,,,6031338.0,ns,101640
cmd_group,get,,,,5861213.0,ns,102245
cmd_group,get,,,,6046798.0,ns,102850
cmd_group,get,,,,6037278.0,ns,103455
cmd_group,get,,,,6103209.0,ns,104060
cmd_group,get,,,,6047808.0,ns,104665
cmd_group,get,,,,6215792.0,ns,105270
cmd_group,get,,,,6197861.0,ns,105875
cmd_group,get,,,,6290144.0,ns,106480
cmd_group,get,,,,6116359.0,ns,107085
cmd_group,get,,,,6321484.0,ns,107690
cmd_group,get,,,,6272983.0,ns,108295
cmd_group,get,,,,7759437.0,ns,108900
cmd_group,get,,,,8345161.0,ns,109505
cmd_group,get,,,,6692712.0,ns,110110
cmd_group,get,,,,6406496.0,ns,110715
cmd_group,get,,,,6650122.0,ns,111320
cmd_group,get,,,,6620061.0,ns,111925
cmd_group,get,,,,6550049.0,ns,112530
cmd_group,get,,,,6860777.0,ns,113135
cmd_group,get,,,,6661362.0,ns,113740
cmd_group,get,,,,6833646.0,ns,114345
cmd_group,get,,,,6908727.0,ns,114950
cmd_group,get,,,,6815015.0,ns,115555
cmd_group,get,,,,6713103.0,ns,116160
cmd_group,get,,,,6695093.0,ns,116765
cmd_group,get,,,,6801685.0,ns,117370
cmd_group,get,,,,6868107.0,ns,117975
cmd_group,get,,,,6928568.0,ns,118580
cmd_group,get,,,,7171624.0,ns,119185
cmd_group,get,,,,7035370.0,ns,119790
cmd_group,get,,,,7073161.0,ns,120395
cmd_group,get,,,,7238245.0,ns,121000
cmd_group,get,,,,7117233.0,ns,121605
cmd_group,get,,,,7163403.0,ns,122210
cmd_group,get,,,,7214595.0,ns,122815
cmd_group,get,,,,7228125.0,ns,123420
cmd_group,get,,,,7273735.0,ns,124025
cmd_group,get,,,,7198714.0,ns,124630
cmd_group,get,,,,7307496.0,ns,125235
cmd_group,get,,,,7341307.0,ns,125840
cmd_group,get,,,,7520762.0,ns,126445
cmd_group,get,,,,7353718.0,ns,127050
cmd_group,get,,,,7622384.0,ns,127655
cmd_group,get,,,,7599183.0,ns,128260
cmd_group,get,,,,7399208.0,ns,128865
cmd_group,get,,,,7594874.0,ns,129470
cmd_group,get,,,,7948461.0,ns,130075
cmd_group,get,,,,7839399.0,ns,130680
cmd_group,get,,,,7644224.0,ns,131285
cmd_group,get,,,,7697665.0,ns,131890
cmd_group,get,,,,7868320.0,ns,132495
cmd_group,get,,,,7989622.0,ns,133100
cmd_group,get,,,,7831679.0,ns,133705
cmd_group,get,,,,7770667.0,ns,134310
cmd_group,get,,,,7767057.0,ns,134915
cmd_group,get,,,,7908570.0,ns,135520
cmd_group,get,,,,7953282.0,ns,136125
cmd_group,get,,,,8107054.0,ns,136730
cmd_group,get,,,,8026474.0,ns,137335
cmd_group,get,,,,8027463.0,ns,137940
cmd_group,get,,,,7995892.0,ns,138545
cmd_group,get,,,,8233018.0,ns,139150
cmd_group,get,,,,8140805.0,ns,139755
cmd_group,get,,,,8138176.0,ns,140360
cmd_group,get,,,,8161376.0,ns,140965
cmd_group,get,,,,8391702.0,ns,141570
cmd_group,get,,,,8314289.0,ns,142175
cmd_group,get,,,,8420722.0,ns,142780
cmd_group,get,,,,8505484.0,ns,143385
cmd_group,get,,,,8404052.0,ns,143990
cmd_group,get,,,,9379944.0,ns,144595
cmd_group,get,,,,10036819.0,ns,145200
cmd_group,get,,,,8533764.0,ns,145805
cmd_group,get,,,,8456163.0,ns,146410
cmd_group,get,,,,8503854.0,ns,147015
cmd_group,get,,,,8507084.0,ns,147620
cmd_group,get,,,,8482433.0,ns,148225
cmd_group,get,,,,8725439.0,ns,148830
cmd_group,get,,,,8843432.0,ns,149435
cmd_group,get,,,,8771900.0,ns,150040
cmd_group,get,,,,8811991.0,ns,150645
cmd_group,get,,,,8646417.0,ns,151250
cmd_group,get,,,,9171549.0,ns,151855
cmd_group,get,,,,10171071.0,ns,152460
cmd_group,get,,,,8992905.0,ns,153065
cmd_group,get,,,,8997925.0,ns,153670
cmd_group,get,,,,9017966.0,ns,154275
cmd_group,get,,,,9115098.0,ns,154880
cmd_group,get,,,,9021936.0,ns,155485
cmd_group,get,,,,9169599.0,ns,156090
cmd_group,get,,,,9223290.0,ns,156695
cmd_group,get,,,,9361244.0,ns,157300
cmd_group,get,,,,9247441.0,ns,157905
cmd_group,get,,,,9313342.0,ns,158510
cmd_group,get,,,,9353833.0,ns,159115
cmd_group,get,,,,9447486.0,ns,159720
cmd_group,get,,,,9385754.0,ns,160325
cmd_group,get,,,,9439505.0,ns,160930
cmd_group,get,,,,9336273.0,ns,161535
cmd_group,get,,,,9381704.0,ns,162140
cmd_group,get,,,,10284634.0,ns,162745
cmd_group,get,,,,11700257.0,ns,163350
cmd_group,get,,,,10229863.0,ns,163955
cmd_group,get,,,,9728362.0,ns,164560
cmd_group,get,,,,9707342.0,ns,165165
cmd_group,get,,,,9617919.0,ns,165770
cmd_group,get,,,,9918006.0,ns,166375
cmd_group,get,,,,10040469.0,ns,166980
cmd_group,get,,,,9810144.0,ns,167585
cmd_group,get,,,,9879195.0,ns,168190
cmd_group,get,,,,9823154.0,ns,168795
cmd_group,get,,,,9927717.0,ns,169400
cmd_group,get,,,,9883935.0,ns,170005
cmd_group,get,,,,9897416.0,ns,170610
cmd_group,get,,,,9936156.0,ns,171215
cmd_group,get,,,,9900986.0,ns,171820
cmd_group,get,,,,10018599.0,ns,172425
cmd_group,get,,,,10099130.0,ns,173030
cmd_group,get,,,,10158891.0,ns,173635
cmd_group,get,,,,10266985.0,ns,174240
cmd_group,get,,,,10131941.0,ns,174845
cmd_group,get,,,,10148771.0,ns,175450
cmd_group,get,,,,10488729.0,ns,176055
cmd_group,get,,,,10578671.0,ns,176660
cmd_group,get,,,,10346495.0,ns,177265
cmd_group,get,,,,10318116.0,ns,177870
cmd_group,get,,,,10423538.0,ns,178475
cmd_group,get,,,,10374526.0,ns,179080
cmd_group,get,,,,10410327.0,ns,179685
cmd_group,get,,,,10430628.0,ns,180290
cmd_group,get,,,,10572161.0,ns,180895
cmd_group,get,,,,10595752.0,ns,181500
cmd_group,get,,,,10846658.0,ns,182105
cmd_group,get,,,,10602601.0,ns,182710
cmd_group,get,,,,10783986.0,ns,183315
cmd_group,get,,,,10750705.0,ns,183920
cmd_group,get,,,,10605992.0,ns,184525
cmd_group,get,,,,10809337.0,ns,185130
cmd_group,get,,,,10759305.0,ns,185735
cmd_group,get,,,,11090283.0,ns,186340
cmd_group,get,,,,11050332.0,ns,186945
cmd_group,get,,,,11071622.0,ns,187550
cmd_group,get,,,,10899619.0,ns,188155
cmd_group,get,,,,10938690.0,ns,188760
cmd_group,get,,,,11096952.0,ns,189365
cmd_group,get,,,,11221296.0,ns,189970
cmd_group,get,,,,11166525.0,ns,190575
cmd_group,get,,,,11032742.0,ns,191180
cmd_group,get,,,,11267137.0,ns,191785
cmd_group,get,,,,11837059.0,ns,192390
cmd_group,get,,,,12198338.0,ns,192995
cmd_group,get,,,,11319389.0,ns,193600
cmd_group,get,,,,11345638.0,ns,194205
cmd_group,get,,,,11468492.0,ns,194810
cmd_group,get,,,,11503102.0,ns,195415
cmd_group,get,,,,11345469.0,ns,196020
cmd_group,get,,,,11478592.0,ns,196625
cmd_group,get,,,,11480671.0,ns,197230
cmd_group,get,,,,11627256.0,ns,197835
cmd_group,get,,,,11476091.0,ns,198440
cmd_group,get,,,,11587635.0,ns,199045
cmd_group,get,,,,11635445.0,ns,199650
cmd_group,get,,,,11547403.0,ns,200255
cmd_group,get,,,,11599335.0,ns,200860
cmd_group,get,,,,11785128.0,ns,201465
cmd_group,get,,,,11801840.0,ns,202070
cmd_group,get,,,,11794388.0,ns,202675
cmd_group,get,,,,12513616.0,ns,203280
cmd_group,get,,,,12026684.0,ns,203885
cmd_group,get,,,,12084486.0,ns,204490
cmd_group,get,,,,12021894.0,ns,205095
cmd_group,get,,,,11991464.0,ns,205700
cmd_group,get,,,,11995243.0,ns,206305
cmd_group,get,,,,12214419.0,ns,206910
cmd_group,get,,,,12178487.0,ns,207515
cmd_group,get,,,,12105986.0,ns,208120
cmd_group,get,,,,12084666.0,ns,208725
cmd_group,get,,,,14583332.0,ns,209330
cmd_group,get,,,,13514139.0,ns,209935
cmd_group,get,,,,12127326.0,ns,210540
cmd_group,get,,,,12054355.0,ns,211145
cmd_group,get,,,,12308581.0,ns,211750
cmd_group,get,,,,12341591.0,ns,212355
cmd_group,get,,,,12572987.0,ns,212960
cmd_group,get,,,,12505265.0,ns,213565
cmd_group,get,,,,12379312.0,ns,214170
cmd_group,get,,,,13063168.0,ns,214775
cmd_group,get,,,,12542286.0,ns,215380
cmd_group,get,,,,12581897.0,ns,215985
cmd_group,get,,,,12840743.0,ns,216590
cmd_group,get,,,,15064283.0,ns,217195
cmd_group,get,,,,12800022.0,ns,217800
cmd_group,get,,,,12657849.0,ns,218405
cmd_group,get,,,,13574290.0,ns,219010
cmd_group,get,,,,12914664.0,ns,219615
cmd_group,get,,,,12907375.0,ns,220220
cmd_group,get,,,,12858123.0,ns,220825
cmd_group,get,,,,12812682.0,ns,221430
cmd_group,get,,,,13305323.0,ns,222035
cmd_group,get,,,,13788145.0,ns,222640
cmd_group,get,,,,13163540.0,ns,223245
cmd_group,get,,,,12964156.0,ns,223850
cmd_group,get,,,,13158550.0,ns,224455
cmd_group,get,,,,13285343.0,ns,225060
cmd_group,get,,,,13300593.0,ns,225665
cmd_group,get,,,,13342314.0,ns,226270
cmd_group,get,,,,13405656.0,ns,226875
cmd_group,get,,,,13588960.0,ns,227480
cmd_group,get,,,,16005935.0,ns,228085
cmd_group,get,,,,15287228.0,ns,228690
cmd_group,get,,,,13313274.0,ns,229295
cmd_group,get,,,,13556969.0,ns,229900
cmd_group,get,,,,13548629.0,ns,230505
cmd_group,get,,,,13489708.0,ns,231110
cmd_group,get,,,,13520188.0,ns,231715
cmd_group,get,,,,13525128.0,ns,232320
cmd_group,get,,,,13558780.0,ns,232925
cmd_group,get,,,,13597150.0,ns,233530
cmd_group,get,,,,13553659.0,ns,234135
cmd_group,get,,,,13886367.0,ns,234740
cmd_group,get,,,,13925577.0,ns,235345
cmd_group,get,,,,13845736.0,ns,235950
